Browse	Procházet
Could not create key: invalid object descriptor.	Nelze vytvořit klíč: neplatný deskriptor objektu.
Could not create table: invalid object descriptor.	Nelze vytvořit tabulku: neplatný deskriptor objektu.
Could not create user: invalid object descriptor.	Nelze vytvořit uživatele: neplatný deskriptor objektu.
Could not create view: invalid object descriptor.	Nelze vytvořit pohled: neplatný deskriptor objektu.
Could not create view: no command object.	Nelze vytvořit pohled: chybí řídící objekt.
The index could not be created. Only one column per index is allowed.	Nelze vytvořit index. Je povolen jen jeden sloupec na index.
The index could not be created. The values are not unique.	Nelze vytvořit index. Hodnoty nejsou jedinečné.
The index could not be created. An unknown error appeared.	Nelze vytvořit index. Došlo k neznámé chybě.
The name “$name$” does not match SQL naming constraints.	Název „$name$“ neodpovídá pravidlům SQL pro pojmenování.
The file $filename$ could not be deleted.	Nelze smazat soubor $filename$.
Invalid column type for column “$columnname$”.	Neplatný typ sloupce pro sloupec „$columnname$“.
Invalid precision for column “$columnname$”.	Neplatná přesnost pro sloupec „$columnname$“.
Precision is less than scale for column “$columnname$”.	Přesnost je menší než měřítko pro sloupec „$columnname$“.
Invalid column name length for column “$columnname$”.	Neplatná délka názvu sloupce pro sloupec „$columnname$“.
Duplicate value found in column “$columnname$”.	Ve sloupci „$columnname$“ nalezeny opakované hodnoty.
The table could not be altered.	Tabulku nelze upravit.
The file “$filename$” is an invalid (or unrecognized) dBASE file.	Soubor „$filename$“ není platný soubor dBASE.
Cannot open Evolution address book.	Nelze otevřít adresář Evolution.
Can only sort by table columns.	Lze řadit jen podle sloupců tabulky.
The query cannot be executed. The “BETWEEN” arguments are not correct.	Dotaz nelze vykonat. Argumenty „BETWEEN“ jsou neplatné.
The query cannot be executed. The function is not supported.	Dotaz nelze vykonat, funkce není podporována.
The table cannot be changed. It is read only.	Tabulku nelze upravit, je jen pro čtení.
The row could not be deleted. It is already deleted.	Řádek nelze smazat. Již je smazán.
The query cannot be executed. It contains more than one table.	Dotaz nelze vykonat, obsahuje více než jednu tabulku.
The query cannot be executed. It contains no valid table.	Dotaz nelze vykonat, neobsahuje platnou tabulku.
The query cannot be executed. It contains no valid columns.	Dotaz nelze vykonat, neobsahuje platné sloupce.
The count of the given parameter values does not match the parameters.	Počet hodnot parametrů neodpovídá počtu parametrů.
The URL “$URL$” is not valid. A connection cannot be created.	URL „$URL$“ je neplatné, nelze navázat spojení.
The driver class “$classname$” could not be loaded.	Nelze načíst třídu ovladače „$classname$“.
No Java installation could be found. Please check your installation.	Nebyla nalezena instalace Javy. Zkontrolujte, zda je správně nainstalována.
The execution of the query does not return a valid result set.	Provedený dotaz nevrátil platný výsledek.
The execution of the update statement does not affect any rows.	Provedená aktualizace neovlivnila žádné řádky.
The additional driver class path is “$classpath$”.	Doplňující cesta třídy ovladače je „$classpath$“.
The type of parameter at position “$position$” is unknown.	Typ parametru na pozici „$position$“ není znám.
The type of column at position “$position$” is unknown.	Typ sloupce na pozici „$position$“ není znám.
Parameters can appear only in prepared statements.	Parametry se mohou vyskytovat jen v předpřipravených dotazech.
No such table!	Neexistující tabulka!
No suitable macOS installation was found.	Nebyla nalezena vhodná instalace macOS.
The connection can not be established. No storage or URL was given.	Nelze navázat spojení, není vybráno úložiště nebo zadáno URL.
An error occurred while obtaining the connection’s table container.	Při získávání kontejneru kontingenční tabulky došlo k chybě.
There is no table named “$tablename$”.	Tabulka „$tablename$“ neexistuje.
The provided DocumentUI is not allowed to be NULL.	Zadané DocumentUI nemůže být NULL.
The record operation has been vetoed.	Operace se záznamem byla odmítnuta.
The statement contains a cyclic reference to one or more subqueries.	Výraz obsahuje cyklický odkaz na jeden či více poddotazů.
The name must not contain any slashes (“/”).	Název nesmí obsahovat lomítka („/“).
$1$ is no SQL conform identifier.	$1$ není platný identifikátor SQL.
Query names must not contain quote characters.	Název dotazu nesmí obsahovat uvozovky.
The name “$1$” is already in use in the database.	Název „$1$“ je již v databázi použit.
No $1$ exists.	Neexistuje $1$.
Unable to display the complete table content. Please apply a filter.	Nelze zobrazit kompletní obsah tabulky. Použijte filtr.
ADO	ADO
Microsoft Access	Microsoft Access
Microsoft Access 2007	Microsoft Access 2007
Spreadsheet	Sešit
dBASE	dBASE
Evolution Local	Lokální Evolution
Evolution LDAP	Evolution LDAP
Groupwise	Groupwise
Firebird Embedded	Vestavěná Firebird
Firebird External	Externí Firebird
Text/CSV	Text/CSV
HSQLDB Embedded	Vestavěná HSQLDB
JDBC	JDBC
Oracle JDBC	Oracle JDBC
Mac OS X Address Book	Adresář Mac OS X
MySQL (JDBC)	MySQL (JDBC)
MySQL (ODBC)	MySQL (ODBC)
MySQL/MariaDB Connector	Konektor MySQL/MariaDB
ODBC	ODBC
PostgreSQL	PostgreSQL
Writer Document	Textový dokument
User-defined	Definované uživatelem
Number	Číslo
Currency	Měna
Time	Čas
Scientific	Vědecký
Fraction	Zlomek
Boolean Value	Booleovská hodnota
Configuration	Nastavení
My Documents	Dokumenty
Images	Obrázky
Icons	Ikony
Palettes	Palety
Backups	Zálohy
Templates	Šablony
AutoText	Automatický text
Dictionaries	Slovníky
Gallery	Galerie
Message Storage	Úložiště zpráv
Temporary files	Dočasné soubory
Plug-ins	Zásuvné moduly
Folder Bookmarks	Záložky pro složku
Filters	Filtry
Add-ins	Doplňky
User Configuration	Uživatelská nastavení
User-defined dictionaries	Uživatelem definované slovníky
Classification	Klasifikace
AutoCorrect	Automatické opravy
Writing aids	Pomůcky pro psaní
New Menu %n	Nová nabídka %n
New Toolbar %n	Nová lišta %n
Move Menu	Přesunout nabídku
Add Submenu	Přidat podnabídku
Submenu name	Název podnabídky
Are you sure to delete the image?	Opravdu chcete smazat obrázek?
Confirm Icon Replacement	Potvrďte nahrazení ikony
Yes to All	Ano pro všechny
New name	Nový název
Rename Menu	Přejmenovat nabídku
Rename Toolbar	Přejmenovat lištu
All Commands	Všechny příkazy
Tabbed	Karty
Tabbed Compact	Kompaktní karty
Groupedbar	Skupiny
Groupedbar Compact	Kompaktní skupiny
Mouse over object	Myš na objektu
Trigger hyperlink	Provést hypertextový odkaz
Mouse leaves object	Myš opouští objekt
Button	Tlačítko
The file already exists. Overwrite?	Soubor již existuje. Přepsat?
Select File for Floating Frame	Vybrat soubor pro plovoucí rámec
All commands	Všechny příkazy
Macros	Makra
There is no description available for this macro.	Pro toto makro není popis k dispozici.
Insert Rows	Vložit řádky
Above selection	Nad výběrem
Below selection	Pod výběrem
Remove from Favorites	Odstranit z oblíbených
Missing character	Chybí znak
Add to Favorites	Přidat k oblíbeným
(%1 PPI)	(%1 pixelů na palec)
Insert Columns	Vložit sloupce
Before selection	Před výběrem
After selection	Po výběru
Automatic	Automatická
Link	Odkaz
Load Keyboard Configuration	Načíst konfiguraci klávesnice
Save Keyboard Configuration	Uložit konfiguraci klávesnice
Configuration (*.cfg)	Nastavení (*.cfg)
Targets do not exist in the document.	Cíle v dokumentu neexistují.
Couldn't open the document.	Není možné otevřít soubor.
[Enter text here]	[sem zadejte text]
Hangul	Hangul
Hanja	Handža
Styles	Styly
Sidebar Decks	Karty postranní lišty
Start Application	Spustit aplikaci
Close Application	Ukončit aplikaci
New Document	Nový dokument
Document closed	Dokument zavřen
Document is going to be closed	Dokument bude uzavřen
Open Document	Otevřít dokument
Save Document	Uložit dokument
Save Document As	Uložit dokument jako
Document has been saved	Dokument byl uložen
Document has been saved as	Dokument byl uložen jako
Activate Document	Aktivovat dokument
Deactivate Document	Deaktivovat dokument
Print Document	Tisk dokumentu
'Modified' status was changed	Stav 'Modifikován' byl změněn
Printing of form letters started	Tisk hromadných dopisů zahájen
Printing of form letters finished	Tisk hromadných dopisů ukončen
Merging of form fields started	Slučování polí formuláře zahájeno
Merging of form fields finished	Slučování polí formuláře ukončeno
Changing the page count	Změna počtu stránek
Loaded a sub component	Podčást načtena
Closed a sub component	Podčást uzavřena
Fill parameters	Vyplnit parametry
Execute action	Provést akci
After updating	Po aktualizaci
Before updating	Před aktualizací
Before record action	Před záznamem
After record action	Po záznamu
Confirm deletion	Potvrdit odstranění
Error occurred	Došlo k chybě
While adjusting	Při úpravě
When receiving focus	Při zaměření
When losing focus	Při ztrátě zaměření
Item status changed	Změna stavu položky
Key pressed	Klávesa stisknuta
Key released	Klávesa uvolněna
When loading	Při načítání
Before reloading	Před opětovným načtením
When reloading	Při opětovném načtení
Mouse moved while key pressed	Myš se pohnula spolu se stisknutou klávesou
Mouse inside	Myš uvnitř
Mouse outside	Myš vně
Mouse moved	Posuv myši
Mouse button pressed	Stisknuto tlačítko myši
Mouse button released	Uvolněno tlačítko myši
Before record change	Před změnou záznamu
After record change	Po změně záznamu
After resetting	Po přenastavení
Prior to reset	Před přenastavením
Approve action	Schválit akci
Before submitting	Před odesláním
Text modified	Text změněn
Before unloading	Před uvolněním
When unloading	Při uvolnění
Changed	Změněno
Document created	Dokument byl vytvořen
Document loading finished	Ukončeno načítání dokumentu
Saving of document failed	Ukládání dokumentu selhalo
'Save as' has failed	'Uložit jako' selhalo
Storing or exporting copy of document	Ukládání nebo export kopie dokumentu
Document copy has been created	Byla vytvořena kopie dokumentu
Creating of document copy failed	Vytvoření kopie dokumentu selhalo
View created	Pohled vytvořen
View is going to be closed	Pohled bude uzavřen
View closed	Pohled uzavřen
Document title changed	Název dokumentu změněn
Selection changed	Změna výběru
Double click	Dvojité kliknutí
Right click	Kliknutí pravým tlačítkem
Formulas calculated	Výpočet vzorců
Content changed	Změna obsahu
anywhere in the field	kdekoliv v poli
beginning of field	začátek pole
end of field	konec pole
entire field	celé pole
From top	Odshora
From bottom	Zezdola
No records corresponding to your data found.	Nebyly nalezeny žádné odpovídající záznamy.
An unknown error occurred. The search could not be finished.	Nastala neznámá chyba. Hledání nelze dokončit.
Overflow, search continued at the beginning	Dokola, hledání pokračuje na začátku
Overflow, search continued at the end	Dokola, hledání pokračuje na konci
counting records	počítat záznamy
<No Files>	<žádné soubory>
Object;Objects	Objekt;Objekty
(read-only)	(jen pro čtení)
<All Files>	<Všechny soubory>
This ID already exists...	Takové ID již existuje...
The path %1 already exists.	Cesta %1 již existuje.
Select Archives	Vybrat archivy
Archives	Archivy
The file %1 already exists.	Soubor %1 již existuje.
Add Image	Přidat obrázek
Set the password by entering the same password in both boxes.	Zadejte heslo, a to tak, že ho napíšete do obou polí.
Password length limit of %1 reached	Dosažen limit %1 pro délku hesla
Automatic	Automatický
Manual	Ruční
Not available	Nedostupný
Are you sure you want to remove the selected link?	Opravdu si přejete odstranit zvolený odkaz?
Waiting	Čeká se
Save Screenshot As...	Uložit snímek obrazovky jako...
Data Series $(ROW)	Datová řada $(ROW)
Do you want to delete the entry?	Přejete si tuto položku smazat?
Do you want to delete the following object?	Chcete smazat tento objekt?
Confirm Deletion	Potvrdit odstranění
The selected object could not be deleted.	Vybraný objekt nelze smazat.
Error Deleting Object	Při odstraňování objektu došlo k chybě
The object could not be created.	Objekt nelze vytvořit.
 Object with the same name already exists.	 Objekt s tímto názvem již existuje.
Error Creating Object	Při vytváření objektu došlo k chybě
The object could not be renamed.	Objekt nelze přejmenovat.
Error Renaming Object	Při přejmenování objektu došlo k chybě
%PRODUCTNAME Error	Chyba %PRODUCTNAME
The scripting language %LANGUAGENAME is not supported.	Skriptovací jazyk %LANGUAGENAME není podporován.
An error occurred while running the %LANGUAGENAME script %SCRIPTNAME.	Při běhu %LANGUAGENAME skriptu %SCRIPTNAME došlo k chybě.
Type:	Typ:
Message:	Zpráva:
MathType to %PRODUCTNAME Math or reverse	MathType na %PRODUCTNAME Math nebo naopak
WinWord to %PRODUCTNAME Writer or reverse	WinWord na %PRODUCTNAME Writer nebo naopak
Excel to %PRODUCTNAME Calc or reverse	Excel na %PRODUCTNAME Calc nebo naopak
PowerPoint to %PRODUCTNAME Impress or reverse	PowerPoint na %PRODUCTNAME Impress nebo naopak
SmartArt to %PRODUCTNAME shapes or reverse	SmartArt na tvary %PRODUCTNAME nebo naopak
Visio to %PRODUCTNAME Draw or reverse	Visio na %PRODUCTNAME Draw nebo naopak
PDF to %PRODUCTNAME Draw or reverse	PDF na %PRODUCTNAME Draw nebo naopak
Grammar By	Gramatika podle
Do you want to change the '%1' dictionary language?	Přejete si změnit jazyk slovníku '%1'?
Do you really want to delete the color scheme?	Opravdu si přejete barevné schéma smazat?
Color Scheme Deletion	Odstranění barevného schématu
Save scheme	Uložit schéma
Name of color scheme	Název barevného schématu
Spelling	Kontrola pravopisu
Hyphenation	Dělení slov
Thesaurus	Slovník synonym
Grammar	Gramatika
Check uppercase words	Kontrolovat slova napsaná velkými písmeny
Check words with numbers 	Kontrolovat slova s číslicemi 
Check special regions	Kontrolovat speciální oblasti
Accept possible closed compound words	Přijímat možná spojitá složená slova
Accept possible hyphenated compound words	Přijímat možná složená slova se spojovníkem
Check spelling as you type	Kontrolovat pravopis během psaní
Check grammar as you type	Kontrolovat gramatiku během psaní
Minimal number of characters for hyphenation: 	Minimální počet znaků pro dělení slov: 
Characters before line break: 	Znaky před zalomením řádku: 
Characters after line break: 	Znaky po zalomení řádku: 
Hyphenate without inquiry	Dělit slova bez dotazu
Hyphenate special regions	Dělit slova ve speciálních oblastech
Edit Parameter	Upravit parametr
Please enter a name for the gradient:	Zadejte název přechodu:
Please enter a name for the bitmap:	Zadejte název rastru:
Please enter a name for the external bitmap:	Zadejte název externího rastru:
Please enter a name for the pattern:	Zadejte název vzorku:
Please enter a name for the line style:	Zadejte název stylu čáry:
Please enter a name for the hatching:	Zadejte název šrafování:
Modify	Změnit
Please enter a name for the new color:	Zadejte název pro novou barvu:
Table	Tabulka
Please enter a name for the new arrow style:	Zadejte název nového stylu šipky:
No %1	Ne %1
Family:	Rodina:
Font:	Písmo:
Style:	Styl:
Typeface:	Řez:
Use replacement table	Použít tabulku náhrad
Correct TWo INitial CApitals	Opravit první DVě VElká písmena
Capitalize first letter of every sentence	Každé první písmeno věty bude velké
Automatic *bold*, /italic/, -strikeout- and underline	Automatické *tučné*, /kurzíva/, -přeškrtnuté- a podtržené
Ignore double spaces	Ignorovat dvojité mezery
URL Recognition	Rozpoznání URL
Replace dashes	Nahradit pomlčky
Correct accidental use of cAPS LOCK key	Opravit náhodné použití klávesy cAPS LOCK
Format ordinal numbers suffixes (1st -> 1^st)	Nahradit přípony řadových číslovek (1st za 1^st)
Replace << and >> with angle quotes	Nahradit << a >> bočními uvozovkami
Remove blank paragraphs	Odstranit prázdné odstavce
Replace Custom Styles	Nahradit vlastní styly
Replace bullets with: %1	Nahradit odrážky za: %1
Combine single line paragraphs if length greater than %1	Sloučit jednořádkové odstavce, je-li délka větší než %1
Bulleted and numbered lists. Bullet symbol: %1	Číslované a odrážkové seznamy. Symbol odrážky: %1
Apply border	Použít ohraničení
Create table	Vytvořit tabulku
Apply Styles	Použít styly
Delete spaces and tabs at beginning and end of paragraph	Smazat mezery a tabulátory na začátku a na konci odstavce
Delete spaces and tabs at end and start of line	Smazat mezery a tabulátory na začátku a na konci řádku
Connector	Spojnice
Dimension line	Kótovací čára
Start Quote	Levá uvozovka
End Quote	Pravá uvozovka
No Shadow	Bez stínování
Cast Shadow to Bottom Right	Vrhat stín vpravo dolů
Cast Shadow to Top Right	Vrhat stín vpravo nahoru
Cast Shadow to Bottom Left	Vrhat stín vlevo dolů
Cast Shadow to Top Left	Vrhat stín vlevo nahoru
Signed by: %1	Podepsáno: %1
Registered Databases	Registrované databáze
The URL <%1> cannot be converted to a filesystem path.	URL <%1> nelze převést na cestu souborového systému.
Copyright © 2000–2023 LibreOffice contributors.	Copyright © 2000–2023 přispěvatelé LibreOffice.
This release was supplied by %OOOVENDOR.	Dodavatelem tohoto produktu je %OOOVENDOR.
LibreOffice was based on OpenOffice.org.	LibreOffice byl vytvořen na základě OpenOffice.org.
UI: $LOCALE	UI: $LOCALE
Edit Paths: %1	Upravit cesty: %1
Command	Příkaz
Tooltip	Tip
Experimental	Experimentální
You can only delete user-defined colors	Smazat můžete pouze uživatelem definované barvy
Please select the color to delete	Vyberte barvu, kterou chcete odstranit
Install	Instalovat
Installed	Nainstalováno
Installing	Instaluje se
Searching...	Vyhledávání...
Loading...	Načítání...
Extensions	Rozšíření
Extensions: Dictionary	Rozšíření: Slovník
Extensions: Gallery	Rozšíření: Galerie
Extensions: Icons	Rozšíření: Ikony
Extensions: Color Palette	Rozšíření: Barevná paleta
Extensions: Templates	Rozšíření: Šablony
Apply to %MODULE	Použít v modulu %MODULE
Inserting OLE object...	Vkládání objektu OLE...
(Click on any test to view its resultant bitmap image)	(Kliknutím na test pro něj zobrazíte výsledný rastrový obrázek)
Creation of ZIP file failed.	Chyba při vytváření souboru ZIP.
Leave this field empty to use the free version	Ponecháte-li toto pole prázdné, použije se volně dostupná verze
You can create editable Hybrid PDFs with %PRODUCTNAME.	Pomocí %PRODUCTNAME lze vytvářet upravovatelné hybridní soubory PDF.
You can create fillable form documents (even PDFs) with %PRODUCTNAME.	Pomocí %PRODUCTNAME lze vytvářet vyplnitelné formuláře (dokonce i soubory PDF).
Fit the entire page in a Draw window, use * on the number pad.	Celou stránku zobrazíte v okně Draw pomocí * na numerické klávesnici.
In a Draw page, use “-” to zoom out; “+” to zoom in.	Na stránce v Draw se oddálíte klávesou „-“ a přiblížíte klávesou „+“.
%MOD1+Shift+F9 recalculates all formulas in all spreadsheets.	%MOD1+Shift+F9 přepočítá všechny vzorce ve všech listech.
Get help from the community via the Ask portal.	Nechte si poradit od komunity prostřednictvím portálu Ask na adrese https://ask.libreoffice.org/cs-cz/questions.
Hold down %MOD1 and turn the mouse wheel to change the zoom factor.	Podržte stisknutou klávesu %MOD1 a pohybujte kolečkem myši, změníte tak míru přiblížení (zvětšení) dokumentu.
Customize footnote appearance with Tools ▸ Footnotes and Endnotes…	Vzhled poznámek pod čarou přizpůsobíte pomocí Nástroje ▸ Poznámky pod čarou a vysvětlivky.
You can change the look of %PRODUCTNAME via View ▸ User Interface.	Vzhled %PRODUCTNAME můžete změnit v Zobrazení ▸ Uživatelské rozhraní.
Get %PRODUCTNAME documentation and free user guide books at:	Stáhněte si dokumentaci a volně dostupné uživatelské příručky k %PRODUCTNAME na adrese:
Your donations support our worldwide community.	Vaše finanční příspěvky podporují naši celosvětovou komunitu.
You want to add x months to a date? Use =EDATE(date;months).	Přejete si přidat k datu x měsíců? Použijte =EDATE(datum;měsíce).
You can sign existing PDF files and also verify those signatures.	Můžete podepisovat již existující soubory PDF a jejich podpisy ověřovat.
Often create one document from another? Consider using a template.	Vytváříte často dokumenty z jiných dokumentů? A uvažovali jste o použití šablony?
%PRODUCTNAME supports over 150 languages.	%PRODUCTNAME podporuje více než 150 jazyků.
Run %PRODUCTNAME in any browser via rollApp.	%PRODUCTNAME lze pomocí rollApp spouštět v libovolném prohlížeči.
Developing new XSLT and XML filters?	Vyvíjíte nové filtry formátu XSLT a XML?
%PRODUCTNAME Help	Nápověda %PRODUCTNAME
More info	Další informace
Run this action now...	Spustit tuto akci právě teď...
Tip of the Day: %CURRENT/%TOTAL	Tip dne: %CURRENT/%TOTAL
⌘ Cmd	⌘ Cmd
Ctrl	Ctrl
Alt	Alt
⌥ Opt	⌥ Opt
%PRODUCTNAME	%PRODUCTNAME
User Data	Uživatelské údaje
General	Obecné
View	Zobrazení
Print	Tisk
Paths	Cesty
Fonts	Písma
Security	Zabezpečení
Personalization	Přizpůsobení
Application Colors	Barvy aplikací
Accessibility	Zpřístupnění
Advanced	Pokročilé
Basic IDE	Basic IDE
Online Update	Online aktualizace
OpenCL	OpenCL
Language Settings	Jazyková nastavení
Languages	Jazyky
Writing Aids	Pomůcky pro psaní
Searching in Japanese	Hledání v japonštině
Asian Layout	Asijské rozvržení
Complex Text Layout	Komplexní rozvržení textu
LanguageTool Server	Server LanguageTool
DeepL Server	Server DeepL
Internet	Internet
Proxy	Proxy
Email	E-mail
%PRODUCTNAME Writer	%PRODUCTNAME Writer
Formatting Aids	Pomůcky pro formátování
Basic Fonts (Western)	Základní písma (západní)
Basic Fonts (Asian)	Základní písma (asijská)
Basic Fonts (CTL)	Základní písma (CTL)
Changes	Změny
Comparison	Porovnání
Compatibility	Kompatibilita
AutoCaption	Automatické popisky
Mail Merge Email	Hromadné rozesílání e-mailů
%PRODUCTNAME Writer/Web	%PRODUCTNAME Writer/Web
Table	Tabulky
Background	Pozadí
%PRODUCTNAME Math	%PRODUCTNAME Math
%PRODUCTNAME Calc	%PRODUCTNAME Calc
Defaults	Výchozí nastavení
Calculate	Výpočty
Formula	Vzorec
Sort Lists	Řazené seznamy
%PRODUCTNAME Impress	%PRODUCTNAME Impress
%PRODUCTNAME Draw	%PRODUCTNAME Draw
Charts	Grafy
Default Colors	Výchozí barvy
Load/Save	Načítání/ukládání
VBA Properties	Vlastnosti VBA
Microsoft Office	Microsoft Office
HTML Compatibility	HTML kompatibilita
%PRODUCTNAME Base	%PRODUCTNAME Base
Connections	Spojení
Databases	Databáze
(None)	(žádný)
(	(
[	[
<	<
{	{
Other Characters...	Jiné znaky...
)	)
]	]
>	>
}	}
Expert Configuration	Expertní nastavení
Opens a dialog to edit the preference.	Otevře dialogové okno pro úpravu předvolby.
Undo changes done so far in this dialog.	Vrátí dosud provedené změny v tomto okně.
Type the preference you want to display in the text area	Zadejte předvolbu, kterou chcete zobrazit v textové oblasti.
Search	Hledat
Click to search your preference text in the Preferences tree.	Klepnutím vyhledáte text předvolby ve stromu předvoleb.
Preference Name	Název předvolby
Property	Vlastnost
List the preferences organized hierarchically in a tree layout.	Ve stromovém rozvržení zobrazuje hierarchicky seznam předvoleb.
Value:	Hodnota:
About %PRODUCTNAME	O aplikaci %PRODUCTNAME
Version:	Verze:
Build:	Sestavení:
Environment:	Prostředí:
Misc:	Různé:
Locale:	Národní prostředí:
User Interface:	Uživatelské rozhraní:
Credits	Zásluhy
Website	Webové stránky
Release Notes	Poznámky k vydání
Version Information	Informace o verzi
Copy all version information in English	Zkopírovat všechny informace o verzi v angličtině
Shortcut Keys	Klávesové zkratky
$(MODULE)	$(MODULE)
Displays shortcut keys for the current office suite application.	Zobrazí klávesové zkratky pro aktuální aplikaci balíku.
Load...	Načíst...
Save...	Uložit...
Unsaved modifications to shortcut keys are reverted.	Neuložené změny klávesových zkratek budou zrušeny.
Type to search	Zadejte hledaný text
Type here to search in the list of functions.	Zadáním textu do tohoto pole budete vyhledávat v seznamu funkcí.
Function	Funkce
Keys	Klávesy
Displays the shortcut keys that are assigned to the selected function.	Zobrazí klávesové zkratky přiřazené k vybrané funkci.
Functions	Funkce
AutoInclude	Automatické zahrnutí
New abbreviations	Nová zkratka
Delete abbreviations	Smazat zkratku
Lists the abbreviations that are not automatically corrected.	Seznam zkratek, které se neopravují automaticky.
Abbreviations (no Subsequent Capital)	Zkratky (ne před velkým písmenem)
New words with two initial capitals or small initial	Nová slova s dvěma počátečními velkými písmeny nebo jedním malým
Delete words with two initial capitals or small initial	Smazat slova se dvěma počátečními velkými písmeny nebo jedním malým
Words With TWo INitial CApitals or sMALL iNITIAL	Slova se dvěma POčátečními VElkými PÍsmeny nebo jEDNÍM mALÝM
Adds or replaces an entry in the replacement table.	Přidá nebo nahradí záznam v tabulce náhrad.
With	Za
Text only	Pouze text
Active version only	Pouze aktivní verze
Sort by	Seřadit podle
Voting	Hodnocení
Downloads	Stažení
Comments	Komentáře
Detail view	Zobrazení podrobností
Condensed list	Stručný seznam
Additions	Dodatky
Progress Label	Popisek průběhu
Progress label	Popisek průběhu
Search entry	Vyhledávaná položka
searchEntry	Vyhledávaná položka
Gear Menu	Nabídka s ozubeným kolem
Show More Extensions	Zobrazit další rozšíření
"Button ""Show more"""	Tlačítko „Zobrazit další“
This button shows more extensions.	Toto tlačítko zobrazí další rozšíření.
Voting:	Hodnocení:
License:	Licence:
Required version:	Požadovaná verze:
Comments:	Komentáře:
Downloads:	Stažení:
Aging	Ztmavnutí
Specifies the number of colors to which the image is to be reduced.	Určuje počet barev, které mají v obrázku zůstat.
Aging degree:	Stupeň ztmavnutí:
Edit...	Upravit...
Modifies the selected AutoCorrect option.	Upraví vybranou možnost automatické opravy.
[M]: Replace while modifying existing text	[M]: Nahradit při změně existujícího textu
[T]: AutoCorrect while typing	[T]: Automatické opravy během psaní
[M]	[M]
[T]	[T]
Start quote:	Levá uvozovka:
Start quote of single quotes	Levá jednoduchá uvozovka
Single quotes default	Výchozí jednoduché uvozovky
Resets the quotation marks to the default symbols.	Nastaví znaky uvozovek na výchozí symboly.
End quote:	Pravá uvozovka:
End quote of single quotes	Pravá jednoduchá uvozovka
Single Quotes	Jednoduché uvozovky
Start quote of double quotes	Levá dvojitá uvozovka
Double quotes default	Výchozí dvojité uvozovky
End quote of double quotes	Pravá dvojitá uvozovka
Double Quotes	Dvojité uvozovky
Shadow	Stín
Sets the fill properties of the selected drawing object.	Nastaví vlastnosti výplně vybraného objektu kresby.
Cell	Buňka
Row	Řádek
Do not fill the selected object.	Vybraný objekt se nevyplní.
Color	Barva
Fills the object with a color selected on this page.	Vyplní objekt barvou vybranou na této stránce.
Gradient	Přechod
Fills the object with a gradient selected on this page.	Vyplní objekt přechodem vybraným na této stránce.
Image	Obrázek
Fills the object with a bitmap image selected on this page.	Vyplní objekt rastrovým obrázkem vybraným na této stránce.
Pattern	Vzorek
Fills the object with a dot pattern selected on this page.	Vyplní objekt vzorkem vybraným na této stránce.
Hatch	Šrafování
Fills the object with a hatching pattern selected on this page.	Vyplní objekt vzorkem šrafování vybraným na této stránce.
Use Background	Použít pozadí
Displays the underlying slide background.	Zobrazí podkladové pozadí snímku.
Apply list of forbidden characters to the beginning and end of lines	Použít seznam zakázaných znaků na začátek a konec řádky
Allow hanging punctuation	Povolit zavěšenou interpunkci
Apply spacing between Asian and non-Asian text	Použít rozestup znaků mezi asijským a jiným textem
Line Change	Změna řádky
Assign Component	Přiřadit komponentu
Component method name:	Název metody komponenty:
Resets modified values back to the tab page previous values.	Obnoví změněné hodnoty zpět na předchozí hodnoty na kartě.
Saves all changes and closes dialog.	Uloží všechny změny a zavře dialogové okno.
Closes dialog and discards all changes.	Zavře dialogové okno a zruší všechny změny.
Replacements and exceptions for language:	Náhrady a výjimky pro jazyk:
Exceptions	Výjimky
Localized Options	Místní možnosti
Word Completion	Dokončování slov
Smart Tags	Inteligentní značky
Edit Links	Upravit odkazy
Modify...	Upravit...
Change the source file for the selected link.	Změní zdrojový soubor vybraného odkazu.
Break Link	Rozpojit odkaz
Update	Aktualizovat
Source file	Zdrojový soubor
Element	Prvek
Status	Stav
Element:	Prvek:
Update:	Aktualizace:
Only updates the link when you click the Update button.	Odkaz se aktualizuje pouze tehdy, když klepnete na tlačítko Aktualizovat.
Border / Background	Ohraničení/pozadí
User-defined:	Definované uživatelem:
Presets:	Předlohy:
Adjacent Cells:	Sousední buňky:
Remove border	Odstranit ohraničení
Line Arrangement	Uspořádání čar
Width:	Šířka:
Color:	Barva:
Hairline (0.05pt)	Vlasová (0,05 pt)
Very thin (0.5pt)	Velmi tenká (0,5 pt)
Thin (0.75pt)	Tenká (0,75 pt)
Medium (1.5pt)	Střední (1,5 pt)
Thick (2.25pt)	Tlustá (2,25 pt)
Extra thick (4.5pt)	Velmi tlustá (4,5 pt)
Left:	Vlevo:
Right:	Vpravo:
Top:	Nahoře:
Bottom:	Dole:
Synchronize	Synchronizovat
Padding	Okraj
Position:	Umístění:
Width of shadow	Šířka stínu
Distance:	Vzdálenost:
Shadow Style	Styl stínování
Merge with next paragraph	Sloučit s dalším odstavcem
Merge adjacent line styles	Sloučit styl sousedících čar
Properties	Vlastnosti
Characters Before Break	Znaky před zalomením
Characters After Break	Znaky po zalomení
Minimal Word Length	Minimální délka slova
From file...	Ze souboru...
Bullets and Numbering	Odrážky a číslování
Level	Úroveň
Start at:	Začít od:
1	1
