Check for Updates...	Zkontrolovat aktualizace...
Would you like to save the document as HTML?	Chcete uložit dokument jako HTML?
The source code can only be displayed if the document is saved in HTML format.	Zdrojový kód lze zobrazit, jen je-li dokument uložen ve formátu HTML.
Save Label Format	Uložit formát štítku
Brand	Značka
Type	Typ
Enter or select a label type.	Zadejte nebo vyberte druh štítků.
Enter or select the desired brand.	Zadejte nebo vyberte požadovanou značku.
Options	Možnosti
Enter or select the desired brand.	Zadejte nebo vyberte požadovanou značku.
Save monitor	Kontrola uložení
is being saved to	je ukládán do
New Section	Nová sekce
Select the section in the file that you want to insert as a link.	Ze sekcí, které jsou v souboru k dispozici, vyberte tu, kterou chcete vložit jako odkaz.
Link	Odkaz
Inserts the contents of another document or section from another document in the current section.	Vloží obsah jiného dokumentu nebo sekce z jiného dokumentu do aktuální sekce.
DDE	DDE
Creates a DDE link. Select this check box, and then enter the DDE command that you want to use. The DDE option is only available if the Link check box is selected.	Vytvoří DDE odkaz. Zaškrtněte toto pole a potom zadejte DDE příkaz, který chcete použít. Možnost DDE je dostupná, pouze je-li zaškrtnuto pole Odkaz.
File name	Název souboru
DDE command	Příkaz DDE
Section	Sekce
Browse...	Procházet...
Locate the file that you want to insert as a link, and then click Insert.	Vyberte soubor, který chcete vložit jako odkaz. Potom klepněte na Vložit.
Enter the path and the filename for the file that you want to insert, or click the Browse button to locate the file.	Zadejte název souboru (včetně cesty), který chcete vložit, nebo soubor vyhledejte po klepnutí na tlačítko Procházet.
Type a name for the new section.	Zadejte název nové sekce.
Link	Odkaz
Protect	Zamknout
Prevents the selected section from being edited.	Ve vybraných sekcích nebude dovoleno provádět změny.
With password	S heslem
Protects the selected section with a password. The password must have a minimum of 5 characters.	Uzamkne zvolenou sekci heslem. Heslo musí obsahovat nejméně 5 znaků.
Password...	Heslo...
Opens a dialog where you can change the current password.	Otevře dialogové okno, ve kterém můžete aktuální heslo změnit.
Write Protection	Ochrana proti zápisu
Hide	Skrýt
Hides and prevents the selected section from being printed.	Skryje zvolenou sekci a zabrání, aby byla vytištěna.
With Condition	S podmínkou
Enter the condition that must be met to hide the section.	Zadejte podmínku, která musí být pro skrytí sekce splněna.
Hide	Skrýt
Editable in read-only document	Upravitelné v dokumentu jen pro čtení
Properties	Vlastnosti
Sets the properties of the section.	Nastaví vlastnosti sekce.
Select Address List	Vybrat seznam adres
Select an address list. Click '%1' to select recipients from a different list. If you do not have an address list you can create one by clicking '%2'.	Vyberte seznam adres. Kliknutím na '%1' vyberte příjemce z jiného seznamu. Pokud zatím seznam adres nemáte, můžete jej vytvořit kliknutím na '%2'.
Your recipients are currently selected from:	Příjemci se aktuálně vybírají z:
Add...	Přidat...
Select the database file that contains the addresses that you want to use as an address list.	Vyberte databázový soubor obsahující adresy, které chcete použít jako seznam adres.
Remove	Odstranit
Create...	Vytvořit...
Opens the New Address List dialog, where you can create a new address list.	Otevře dialog Nový seznam adres, ve kterém můžete vytvořit nový seznam adres.
Filter...	Filtr...
Opens the Standard Filter dialog , where you can apply filters to the address list to display the recipients that you want to see.	Otevře dialog Standardní filtr, kde můžete definovat filtry nad seznamem adres, a zobrazit tak pouze požadované příjemce.
Edit...	Upravit...
Opens the New Address List dialog, where you can edit the selected address list.	Otevře dialog Nový seznam adres, ve kterém můžete upravit vybraný seznam adres.
Change Table...	Změnit tabulku...
Opens the Select Table dialog, where you can select another table to use for mail merge.	Otevře dialog Vybrat tabulku, kde můžete pro  hromadnou korespondenci vybrat jinou tabulku.
Connecting to data source...	Připojování ke zdroji dat...
Name	Název
Table	Tabulka
Select the address list that you want to use for mail merge, then click OK.	Vyberte seznam adres pro hromadnou korespondenci a klepněte na OK.
Select AutoText:	Vybrat automatický text:
AutoText - Group	Automatický text - skupina
Select Address Block	Vybrat blok s adresou
New...	Nový...
Opens the New Address Block dialog where you can define a new address block layout.	Otevře dialog Nový blok s adresou, ve kterém můžete vytvořit vzhled nového bloku s adresou.
Edit...	Upravit...
Opens the Edit Address Block dialog where you can edit the selected address block layout.	Otevře dialogové okno Upravit blok s adresou, ve kterém můžete upravit rozvržení vybraného bloku s adresou.
Delete	Smazat
Deletes the selected address block layout.	Smaže vybraný blok s adresou.
Select your preferred address block	Vyberte požadovaný blok s adresou
Never include the country/region	Nikdy nevkládat zemi/region
Excludes country or regional information from the address block.	Zamezí vložení země nebo regionu do bloku s adresou.
Always include the country/region	Vždy vkládat zemi/region
Includes country or regional information in the address block.	Vloží zemi nebo region do bloku s adresou.
Only include the country/region if it is not:	Vkládat zemi/region, jen pokud není:
Only includes country or regional information in the address block if the value differs from the value that you enter in the text box.	Vloží do bloku s adresou název země nebo regionu, pokud není stejný jako zadaná hodnota.
Enter the country/region string that shall not be printed.	Napište název země/regionu, který nemá být zobrazen.
Address Block Settings	Nastavení bloku s adresou
Select the block in the list that you want to use for mail merge addresses, and click OK.	Vyberte blok s adresou, který chcete použít pro hromadnou korespondenci, a klepněte na OK.
Select, edit, or delete an address block layout for mail merge.	Vyberte, upravte nebo smažte blok s adresou pro hromadnou korespondenci.
Index Markings	Značky rejstříku
Selection	Výběr
Edits the selected index entry. Click in front of or in the index entry, and then choose this command.	Slouží k úpravě položky rejstříku. Klepněte před nebo do položky rejstříku a zvolte tento příkaz.
Select Table	Vybrat tabulku
The file you have selected contains more than one table. Please select the table containing the address list you want to use.	Vybraný soubor obsahuje více než jednu tabulku. Vyberte tabulku s požadovaným seznamem adres.
Name	Jméno
Type	Typ
Select the table that you want to use for mail merge addresses.	Vyberte tabulku s adresami pro hromadnou korespondenci.
Preview	Náhled
Opens the Mail Merge Recipients dialog.	Otevře dialog Příjemci hromadné korespondence.
Select the table that you want to use for mail merge addresses.	Vyberte tabulku s adresami pro hromadnou korespondenci.
Row Height	Výška řádku
Insert:	Vložit:
Select:	Vybrat:
Column Width	Šířka sloupce
Row height:	Výška řádku:
Column width:	Šířka sloupce:
Delete:	Smazat:
Split/Merge:	Rozdělit/sloučit:
Miscellaneous:	Různé:
Fonts	Písma
Colors	Barvy
Spacing:	Rozestupy:
Set the amount of space between the image and surrounding text	Nastavte velikost rozestupů mezi obrázkem a okolním textem
Wrap:	Obtékání:
None	Žádné
Parallel	Rovnoběžné
Optimal	Optimální
Before	Před
After	Za
Through	Přes
Sort	Seřadit
Column	Sloupec
Key type	Druh klíče
Order	Pořadí
Ascending	Vzestupně
Sorts in ascending order, (for example, 1, 2, 3 or a, b, c).	Seřadí data ve vzestupném pořadí (například, 1, 2, 3 nebo a, b, c).
Descending	Sestupně
Sorts in descending order (for example, 9, 8, 7 or z, y, x).	Seřadí data v sestupném pořadí (například 9, 8, 7 nebo z, y, x).
Ascending	Vzestupně
Sorts in ascending order, (for example, 1, 2, 3 or a, b, c).	Seřadí data ve vzestupném pořadí (například, 1, 2, 3 nebo a, b, c).
Descending	Sestupně
Sorts in descending order (for example, 9, 8, 7 or z, y, x).	Seřadí data v sestupném pořadí (například 9, 8, 7 nebo z, y, x).
Ascending	Vzestupně
Sorts in ascending order, (for example, 1, 2, 3 or a, b, c).	Seřadí data ve vzestupném pořadí (například, 1, 2, 3 nebo a, b, c).
Descending	Sestupně
Sorts in descending order (for example, 9, 8, 7 or z, y, x).	Seřadí data v sestupném pořadí (například 9, 8, 7 nebo z, y, x).
Key 1	Klíč 1
Specifies additional sorting criteria. You can also combine sort keys.	Umožní určit další kritéria řazení. Kombinovat lze také klíče, podle kterých se řadí.
Key 2	Klíč 2
Specifies additional sorting criteria. You can also combine sort keys.	Umožní určit další kritéria řazení. Kombinovat lze také klíče, podle kterých se řadí.
Key 3	Klíč 3
Specifies additional sorting criteria. You can also combine sort keys.	Umožní určit další kritéria řazení. Kombinovat lze také klíče, podle kterých se řadí.
Enter the number of the table column that you want to use as a basis for sorting.	Zadejte číslo sloupce tabulky, který se použije jako základ pro řazení.
Enter the number of the table column that you want to use as a basis for sorting.	Zadejte číslo sloupce tabulky, který se použije jako základ pro řazení.
Enter the number of the table column that you want to use as a basis for sorting.	Zadejte číslo sloupce tabulky, který se použije jako základ pro řazení.
Key type	Druh klíče
Select the sorting option that you want to use.	Vyberte druh řazení, který chcete použít.
Key type	Druh klíče
Select the sorting option that you want to use.	Vyberte druh řazení, který chcete použít.
Key type	Druh klíče
Select the sorting option that you want to use.	Vyberte druh řazení, který chcete použít.
Sort Criteria	Seřadit podle
Columns	Sloupce
Sorts the columns in the table according to the current sort options.	Seřadí sloupce v tabulce podle aktuálně nastaveného řazení.
Rows	Řádky
Sorts the rows in the table or the paragraphs in the selection according to the current sort options.	Seřadí řádky v tabulce podle aktuálně nastaveného řazení.
Direction	Směr
Tabs	Tabulátory
If the selected paragraphs correspond to a list separated by tabs, select this option.	Pokud vybraný odstavec odpovídá seznamu oddělenému tabulátory, zvolte tuto možnost.
Character 	Znak
Enter the character that you want to use as a separator in the selected area.	Zadejte znak, který chcete použít jako oddělovač ve vybrané oblasti.
Enter the character that you want to use as a separator in the selected area.	Zadejte znak, který chcete použít jako oddělovač ve vybrané oblasti.
Select...	Vybrat…
Opens the Special Characters dialog, where you can select the character that you want to use as a separator.	Otevře dialog Speciální znaky, kde můžete vybrat znak oddělovače.
Separator	Oddělovač
Select the language that defines the sorting rules.	Vyberte jazyk, podle kterého jsou definována pravidla řazení.
Language	Jazyk
Match case	Rozlišovat velikost
Distinguishes between uppercase and lowercase letters when you sort a table. For Asian languages special handling applies.	Při řazení tabulky se bude rozlišovat mezi velkými a malými písmeny. Pro asijské jazyky se použije speciální postup.
Setting	Nastavení
Sorts the selected paragraphs or table rows alphabetically or numerically.	Seřadí vybrané odstavce, nebo řádky tabulek abecedně či číselně.
Ignore All	Ignorovat vždy
Add to Dictionary	Přidat do slovníku
Add to Dictionary	Přidat do slovníku
Add selected correction as replacement for incorrect word in AutoCorrect replacement table.	Přidá vybraný návrh jako náhradu chybného slova do tabuky náhrad pro automatické opravy.
Always AutoCorrect to	Vždy automaticky opravovat na
Set Language for Selection	Nastavit jazyk pro výběr
Set Language for Paragraph	Nastavit jazyk pro odstavec
Accept Change	Přijmout změnu
Reject Change	Odmítnout změnu
Next Change	Následující změna
Previous Change	Předchozí změna
Split Table	Rozdělit tabulku
Copy heading	Kopírovat záhlaví
Includes the first row of the original table as the first row of the second table.	Zahrne první řádek původní tabulky jako první řádek druhé tabulky.
Custom heading (apply Style)	Uživatelský nadpis (použít styl)
Inserts a blank header row in the second table that is formatted with the style of the first row in the original table.	Vloží do druhé tabulky prázdný řádek záhlaví, který se naformátuje podle stylu použitého pro první řádek v původní tabulce.
Custom heading	Uživatelský nadpis
Inserts an additional blank row in the second table.	Vloží do druhé tabulky prázdný první řádek.
No heading	Bez nadpisu
Splits the table without copying the header row.	Rozdělí tabulku, aniž by se zkopíroval řádek záhlaví.
Mode	Režim
Splits the current table into two separate tables at the cursor position.	Na pozici kurzoru rozdělí aktuální tabulku na dvě samostatné tabulky.
Pages:	Stránky:
Tables:	Tabulky:
Images:	Obrázky:
OLE objects:	Objekty OLE:
Paragraphs:	Odstavce:
Words:	Slova:
Characters:	Znaky:
Characters excluding spaces:	Znaky bez mezer:
Lines:	Řádky:
Update	Aktualizovat
Displays statistics for the current file.	Zobrazí pro aktuální soubor statistiku.
Name	Název
Enter a name for the new AutoFormat, and then click OK.	Zadejte název nového automatického formátu a klepněte na  OK.
No Subject	Bez předmětu
You did not specify a subject for this message.	Nezadali jste předmět zprávy.
If you would like to provide one, please type it now.	Pokud chcete předmět zadat, napište jej nyní.
Subject:	Předmět:
Adapt table width	Přizpůsobit šířku tabulky
Reduces or increases table width with modified column width.	Zmenší nebo zvětší šířku tabulky podle toho, jak je upravena šířka sloupce.
Adjust columns proportionally	Upravit sloupce rovnoměrně
If possible, change in column width will be equal for each column.	Je-li to možné, bude změna šířky stejná pro každý sloupec.
Remaining space:	Zbývající místo:
Displays the amount of space that is available for adjusting the width of the columns. To set the width of the table, click the Table tab.	Zobrazuje místo, které je k dispozici pro úpravy šířky sloupců. Chcete-li nastavit šířku tabulky, klepněte na kartu Tabulka.
Column 2 Width	Šířka sloupce 2
Enter the width that you want for the column.	Zadejte požadovanou šířku sloupce.
Column 3 Width	Šířka sloupce 3
Enter the width that you want for the column.	Zadejte požadovanou šířku sloupce.
Column 4 Width	Šířka sloupce 4
Enter the width that you want for the column.	Zadejte požadovanou šířku sloupce.
Column 5 Width	Šířka sloupce 5
Enter the width that you want for the column.	Zadejte požadovanou šířku sloupce.
Column 6 Width	Šířka sloupce 6
Enter the width that you want for the column.	Zadejte požadovanou šířku sloupce.
Column 1 Width	Šířka sloupce 1
Enter the width that you want for the column.	Zadejte požadovanou šířku sloupce.
Displays the table columns found to the left of the current column.	Zobrazuje sloupce tabulky vlevo od aktuálního sloupce.
Displays the table columns found to the right of the current column.	Zobrazuje sloupce tabulky vpravo od aktuálního sloupce.
Column Width	Šířka sloupce
Mail Merge Recipients	Příjemci hromadné korespondence
The list below shows the contents of: %1	Seznam níže zobrazuje obsah: %1
Table Properties	Vlastnosti tabulky
Table	Tabulka
Text Flow	Tok textu
Columns	Sloupce
Borders	Ohraničení
Background	Pozadí
Break	Rozpojit
Select this check box, and then select the type of break that you want to associate with the table.	Zaškrtněte toto pole a poté zvolte typ zalomení, který chcete spojit s tabulkou.
Page	Stránka
Inserts a page break before or after the table.	Vloží zalomení stránky před nebo po tabulce.
Column	Sloupec
Inserts a column break before or after the table on a multi-column page.	Vloží zalomení sloupce před nebo po tabulku na vícesloupcové stránce.
Before	Před
Inserts a page or column break before the table.	Vloží zalomení stránky nebo sloupce před tabulku.
After	Za
Inserts a page or column break after the table.	Vloží zalomení stránky nebo sloupce po tabulce.
With Page Style	Se stylem stránky
Applies the page style that you specify to the first page that follows the page break.	Na první stránku po zalomení stránky použije určený styl stránky.
Page number	Číslo stránky
Enter the page number for the first page that follows the break. If you want to continue the current page numbering, leave the checkbox unchecked.	Zadejte číslo stránky, které se přiřadí první stránce po zalomení. Pokud chcete pokračovat v aktuálním číslování, ponechte pole nezaškrtnuté.
With Page Style	Se stylem stránky
Select the page style that you want to apply to the first page that follows the break.	Vyberte styl stránky, který chcete použít na první stránku po zalomení.
Allow table to split across pages and columns	Povolit rozdělení tabulky přes stránky a sloupce
Allows a page break or column break between the rows of a table.	Umožňuje zalomení stránky nebo sloupce mezi řádky tabulky.
Allow row to break across pages and columns	Povolit zalomení řádku přes stránky a sloupce
Allows a page break or column break inside a row of the table.	Umožňuje zalomení stránky nebo sloupce v řádku tabulky.
Keep with next paragraph	Svázat s následujícím odstavcem
Keeps the table and the following paragraph together when you insert the break.	Pokud vložíte zalomení, udrží tabulku a následující odstavec pohromadě.
Text orientation	Orientace textu
Horizontal	Vodorovně
Vertical (top to bottom)	Svisle (shora dolů)
Vertical (bottom to top)	Svisle (zdola nahoru)
Use superordinate object settings	Použít nastavení nadřazeného objektu
Select the orientation for the text in the cells.	Slouží k výběru orientace textu v buňkách
Repeat heading	Opakovat záhlaví
Repeats the table heading on a new page when the table spans more than one page.	Pokud se tabulka roztáhne na více stránek, zopakuje záhlaví tabulky na každé stránce.
The first 	Prvních 
rows	řádků
Enter the number of rows to include in the heading.	Zadejte počet řádků, které se mají zahrnout do záhlaví.
Text Flow	Tok textu
Vertical alignment	Svislé zarovnání
Top	Nahoru
Centered	Uprostřed
Bottom	Dolů
Specify the vertical text alignment for the cells in the table.	Určuje svislé zarovnání textu pro buňky tabulky.
Alignment	Zarovnání
Set the text flow options for the text before and after the table.	Nastavení toku textu pro text před a po tabulce.
Character Style	Znakový styl
Unsaved modifications to this tab are reverted.	Neuložené změny na této kartě budou zrušeny.
Revert any changes made on the tab shown here to the settings that were present when this dialog was opened.	Zruší všechny změny provedené na zobrazené kartě a obnoví nastavení, které obsahovala při otevření dialogového okna.
Set to Parent	Nastavit z rodičovského
Set values shown here with the values from the style specified in “Inherit From” in Organizer.	Nastaví zobrazené hodnoty na hodnoty ze stylu určeného v organizátoru v poli „Rodičovský“.
Organizer	Organizátor
Font	Písmo
Font Effects	Efekty pro písmo
Position	Umístění
Asian Layout	Asijské rozvržení
Highlighting	Zvýraznění
Borders	Ohraničení
List Style	Styl seznamu
Organizer	Organizátor
Unordered	Neseřazený
Ordered	Seřazený
Numbering schemes for ordered lists	Schémata číslování pro seřazené seznamy
Outline	Osnova
Numbering schemes for hierarchical lists	Schémata číslování pro hierarchické seznamy
Image	Obrázek
Graphic bullet symbols	Grafické symboly odrážky
Position	Umístění
Indent, spacing, and alignment options for ordered and unordered lists	Možnosti odsazení, vzdáleností a zarovnání pro seřazené a neseřazené seznamy
Customize	Přizpůsobit
Design your own bullet or numbering scheme	Navrhněte vlastní schéma odrážek nebo číslování
Paragraph Style	Styl odstavce
Organizer	Organizátor
Indents & Spacing	Odsazení a rozestupy
Alignment	Zarovnání
Text Flow	Tok textu
Asian Typography	Asijská typografie
Font	Písmo
Font Effects	Efekty pro písmo
Position	Umístění
Asian Layout	Asijské rozvržení
Highlighting	Zvýraznění
Tabs	Tabulátory
Drop Caps	Iniciály
Area	Oblast
Transparency	Průhlednost
Borders	Ohraničení
Condition	Podmínka
Outline & List	Osnova a seznam
Set outline level, list style and line numbering for paragraph style.	Nastavte stylu odstavce úroveň osnovy, styl seznamu a číslování řádků.
Frame Style	Styl rámce
Organizer	Organizátor
Type	Typ
Options	Možnosti
Wrap	Obtékání textu
Area	Oblast
Transparency	Průhlednost
Borders	Ohraničení
Columns	Sloupce
Macro	Makro
Page Style	Styl stránky
Standard	Standardní
Organizer	Organizátor
Page	Stránka
Area	Oblast
Transparency	Průhlednost
Header	Záhlaví
Footer	Zápatí
Borders	Ohraničení
Columns	Sloupce
Footnote	Poznámka pod čarou
Text Grid	Mřížka textu
%PRODUCTNAME could not connect to the outgoing mail server. Check your system's settings and the settings in %PRODUCTNAME. Check the server name, the port and the secure connections settings	%PRODUCTNAME se nepodařilo navázat spojení s odchozím poštovním serverem. Zkontrolujte nastavení systému a nastavení v %PRODUCTNAME. Zkontrolujte název serveru, port a nastavení zabezpečeného připojení
Test Account Settings	Otestovat nastavení účtu
Stop	Zastavit
Click the Stop button to stop a test session manually.	Klepnutím na tlačítko Zastavit můžete ručně přerušit ověřování.
Establish network connection	Vytvořit síťové spojení
Find outgoing mail server	Najít odchozí poštovní server
Successful	Úspěšné
Failed	Selhalo
%PRODUCTNAME is testing the email account settings...	%PRODUCTNAME testuje nastavení poštovního účtu...
In the Errors list box you can read an explanation of any errors encountered while testing the settings.	V seznamu Chyby se zobrazí vysvětlení případných chyb při ověřování nastavení.
Errors	Chyby
No grid	Žádná mřížka
Adds or removes a text grid for lines or characters to the current page style.	Přidá nebo odstraní v aktuálním stylu stránky mřížku textu pro řádky či znaky.
Grid (lines only)	Mřížka (pouze čáry)
Adds or removes a text grid for lines or characters to the current page style.	Přidá nebo odstraní v aktuálním stylu stránky mřížku textu pro řádky či znaky.
Grid (lines and characters)	Mřížka (čáry a znaky)
Adds or removes a text grid for lines or characters to the current page style.	Přidá nebo odstraní v aktuálním stylu stránky mřížku textu pro řádky či znaky.
Snap to characters	Přichytit ke znakům
Grid	Mřížka
Characters per line:	Znaků na řádek:
Enter the maximum number of characters that you want on a line.	Zadejte maximální počet znaků na jeden řádek.
Lines per page:	Řádků na stránku:
Enter the maximum number of lines that you want on a page.	Zadejte maximální počet řádků na stránku.
Character width:	Šířka znaku:
Max. Ruby text size:	Max. velikost textu ruby:
Enter the font size for the Ruby text.	Zadejte velikost písma pro ruby text.
Max. base text size:	Základní velikost textu:
Enter the maximum base text size. A large value results in less characters per line.	Zadejte základní velikost textu. Při větších hodnotách bude na řádku méně znaků.
Ruby text below/left from base text	Ruby text pod/vlevo od základního textu
Displays Ruby text to the left of or below the base text.	Zobrazuje ruby text vlevo nebo pod základním textem.
Grid Layout	Rozvržení mřížky
Display grid	Zobrazovat mřížku
Specifies the printing and color options of the text grid.	Určuje nastavení tisku a barev mřížky textu.
Print grid	Tisknout mřížku
Specifies the printing and color options of the text grid.	Určuje nastavení tisku a barev mřížky textu.
Grid color:	Barva mřížky:
Specifies the printing and color options of the text grid.	Určuje nastavení tisku a barev mřížky textu.
Grid Display	Zobrazení mřížky
Adds a text grid to the current page style. This option is only available if Asian language support is enabled under Language Settings - Languages in the Options dialog box.	Přidá k aktuálnímu stylu stránky mřížku textu. Tato volba je k dispozici, pouze je-li zapnuta podpora asijských jazyků v Nástroje - Možnosti - Jazyková nastavení - Jazyky).
Title Page	Titulní stránka
Number of title pages:	Počet titulních stránek:
Place title pages at:	Umístit titulní stránky na:
Converting existing pages to title pages	Převést stávající stránky na titulní stránky
Insert new title pages	Vložit nové titulní stránky
Document start	Začátek dokumentu
Page	Stránka
Make Title Pages	Vytvořit titulní stránky
Reset page numbering after title pages	Resetovat číslování stránek po titulních stránkách
Page number:	Číslo stránky:
Set page number for first title page	Nastavit číslo stránky pro titulní stránku
Page number:	Číslo stránky:
Page Numbering	Číslování stránek
Style:	Styl:
Edit...	Upravit...
Edit Page Properties	Upravit vlastnosti stránky
Insert title pages in your document.	Vloží do dokumentu titulní stránky.
Table of Contents, Index or Bibliography	Obsah, rejstřík nebo seznam použité literatury
Preview	Náhled
Type	Typ
Entries	Položky
Styles	Styly
Columns	Sloupce
Background	Pozadí
Preview	Náhled
Level	Úroveň
Type	Typ
Structure:	Struktura:
All	Vše
Applies the current settings to all levels without closing the dialog.	Uplatní stávající nastavení na všechny úrovně obsahu bez uzavření dialogového okna.
Displays the remainder of the Structure line.	Zobrazí zbytek řádku Struktura. 
Character style:	Znakový styl:
Edit...	Upravit...
Opens a dialog where you can edit the selected character style.	Otevře dialog, ve kterém můžete upravit vybraný znakový styl.
Specify the character style for the selected part on the Structure line.	Určete znakový styl pro vybranou část řádku Struktura.
Fill character:	Vyplnit znakem:
Select the tab leader that you want use.	Vyberte vodící znak pro tabulátor.
Tab stop position:	Umístění tabulátoru:
Enter the distance to leave between the left page margin and the tab stop.	Vložte vzdálenost mezi levým okrajem stránky a krokem tabulátoru.
Align right	Zarovnat vpravo
Aligns the tab stop to the right page margin.	Zarovná tabulátor k pravému okraji stránky.
Chapter entry:	Položka kapitoly:
Number range only	Pouze číselný interval
Description only	Pouze popis
Number range and description	Číselný interval a popis
Select the chapter information that you want to include in the index entry.	 Vyberte informace o kapitole, které chcete zahrnout do seznamu
Evaluate up to level:	Vyhodnotit až do úrovně:
Enter the maximum hierarchy level down to which objects are shown in the generated index.	 Vložte nejvyšší úroveň těch objektů, které jsou zobrazeny ve vygenerovaném obsahu
Format:	Formát:
Number	Číslo
Number without separator	Číslo bez oddělovače
Only visible when you click the E# button in the Structure line. Select to show the chapter number with or without separator.	Viditelné pouze tehdy, klepnete-li na tlačítko E# v řádku struktura. Vyberte, zda se má číslo kapitoly zobrazovat s oddělovačem nebo bez něho.
To add an entry to the Structure line, click the entry, click in an empty box on the Structure line, and then click Insert.	Chcete-li přidat položku do řádku Struktura, klepněte na prázdné pole v řádku Struktura, a klepněte na Vložit.
Insert	Vložit
Adds the reference code for the selected bibliography entry to the Structure line. Select an entry in the list, click in an empty box, and then click this button.	Přidá kód odkazu na vybranou položku použité literatury do řádku Struktura. Vyberte položku ze seznamu, klepněte na prázdné pole a poté na toto tlačítko.
Remove	Odstranit
Removes the selected reference code from the Structure line.	Odstraní vybraný kód odkazu z řádku Struktura.
Chapter No.	Kapitola č.
Inserts the chapter number. To assign chapter numbering to a heading style, choose Tools - Chapter Numbering.	Vloží číslo kapitoly. Pro přiřazení číslování kapitol ke stylům nadpisů vyberte Nástroje - Číslování kapitol.
Entry Text	Text položky
Inserts the text of the chapter heading.	Vloží text nadpisu kapitoly.
Tab Stop	Tabulátor
Inserts a tab stop. To add leader dots to the tab stop, select a character in the Fill character box. To change the position of the tab stop, enter a value in the Tab stop position box, or select the Align right check box.	Vloží tabulátor. Chcete-li přidat vodící tečkování, vyberte znak v poli Vyplnit znakem. Polohu tabulátoru lze nastavit v poli Umístění tabulátoru nebo zaškrtnutím pole Zarovnat vpravo.
Chapter Info	Informace o kapitole
Inserts chapter information, such as the chapter heading and number. Select the information that you want to display in the Chapter entry box.	Vloží informace o kapitole, jako je nadpis a číslo. Vyberte informace, které chcete zobrazit v poli Položka kapitoly.
Page No.	Číslo stránky
Inserts the page number of the entry.	Vloží číslo stránky výskytu položky.
Hyperlink	Hypertextový odkaz
Creates a hyperlink for the part of the entry that you enclose by the opening (LS) and the closing (LE) hyperlink tags. On the Structure line, click in the empty box in front of the part that you want to create a hyperlink for, and then click this button. Click in the empty box after the part that you want to hyperlink, and then click this button again. All hyperlinks must be unique. Available only for a table of contents.	Vytvoří odkaz pro část položky, která je uzavřena mezi (LS) a (LE). V řádku Struktura klepněte na prázdné pole před částí, pro kterou chcete odkaz vytvořit a klepněte na toto tlačítko. Poté vyberte prázdné pole za částí, pro kterou tvoříte odkaz, a opět klepněte na toto tlačítko. Všechny hypertextové odkazy musí být jedinečné. Je k dispozici jen pro obsah.
Structure and Formatting	Struktura a formátování
Tab position relative to paragraph style indent	Umístění tabulátoru relativní k odsazení stylu odstavce
"Positions the tab stop relative to the ""indent from left"" value defined in the paragraph style selected on the Styles tab. Otherwise the tab stop is positioned relative to the left text margin."	"Nastaví krok tabulátoru vzhledem k ""odsazení zleva"" určeném ve stylu odstavce na kartě Styly. Jinak je tabulátor nastaven vzhledem k levému okraji textu."
Key separated by commas	Klíče oddělené čárkami
Arranges the index entries on the same line, separated by commas.	Uspořádá seznam položek oddělených čárkou na jednu řádku.
Alphabetical delimiter	Abecední oddělovač
Uses the initial letters of the alphabetically arranged index entries as section headings.	Jako dílčí nadpisy použije počáteční písmena abecedně řazených položek rejstříku.
Character style for main entries:	Znakový styl pro hlavní položky:
Specify the character style for the main entries in the alphabetical index. To convert an index entry into a main entry, click in front of the index field in the document and then choose Edit - Index Entry.	Určete znakový styl pro hlavní položky v abecedním rejstříku. Položku rejstříku převedete na hlavní položku klepnutím před pole rejstříku v dokumentu a volbou Úpravy - Položka rejstříku.
Format	Formát
Document position	Umístění v dokumentu
Sorts the bibliography entries according to the position of their references in the document.	Seřadí položky literatury podle výskytů odkazů na ně v textu.
Content	Obsah
Sorts the bibliography entries by the Sort keys that you specify, for example, by author or by year of publication.	Seřadí položky literatury podle klíčů pro řazení, které vyberete, např. podle autora nebo roku vydání.
Sort by	Seřadit podle
1:	1:
Select the entry by which to sort the bibliography entries. This option is only available if you select the Content radio button in the Sort by area.	Vyberte položku, podle které chcete řadit literaturu. Tato možnost je aktivní, pouze je-li vybrána možnost Obsah v oddílu Seřadit podle.
2:	2:
3:	3:
Select the entry by which to sort the bibliography entries. This option is only available if you select the Content radio button in the Sort by area.	Vyberte položku, podle které chcete řadit literaturu. Tato možnost je aktivní, pouze je-li vybrána možnost Obsah v oddílu Seřadit podle.
Select the entry by which to sort the bibliography entries. This option is only available if you select the Content radio button in the Sort by area.	Vyberte položku, podle které chcete řadit literaturu. Tato možnost je aktivní, pouze je-li vybrána možnost Obsah v oddílu Seřadit podle.
Ascending	Vzestupně
Sorts the bibliography entries in ascending alphanumerical order.	Seřadí položky literatury vzestupně podle abecedy.
Descending	Sestupně
Sorts the bibliography entries in a descending alphanumerical order.	Seřadí položky literatury sestupně podle abecedy.
Ascending	Vzestupně
Sorts the bibliography entries in ascending alphanumerical order.	Seřadí položky literatury vzestupně podle abecedy.
Ascending	Vzestupně
Sorts the bibliography entries in ascending alphanumerical order.	Seřadí položky literatury vzestupně podle abecedy.
Descending	Sestupně
Sorts the bibliography entries in a descending alphanumerical order.	Seřadí položky literatury sestupně podle abecedy.
Descending	Sestupně
Sorts the bibliography entries in a descending alphanumerical order.	Seřadí položky literatury sestupně podle abecedy.
Sort Keys	Klíče pro řazení
